

<document id="2491815">
<head>
<caption>पाक में बच्चों को दी जाती है जिहाद व शहादत की घुट्टी प्रे नई दिल्ली.</caption>
<language>Hindi </language>
<domain_name>News Articles </domain_name>
<word_count>371</word_count>
<byte_count>44153</byte_count>
<availability>
<format>CML/SSF</format>
<sentence_marker>.</sentence_marker>
<normalization>No</normalization>
</availability>
<encoding_description>
<original_encoding>ISO 8859</original_encoding>
<new_encoding>Unicode UTF8</new_encoding>
</encoding_description>
<distributor>LTRC, IIIT Hyderabad</distributor>
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
<creation>
<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
<edition_number>1.0</edition_number>
</creation>
<publication>
<place>New Delhi</place>
<date>1/6/2004</date>
<type>Newspaper</type>
<publisher>
<name>Amar Ujala</name>
<url>http://www.amarujala.com</url>
</publisher>
</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id="1">
1	पाकिस्तान	NNP	<fs af='पाकिस्तान,n,m,sg,3,o,0_का,0' drel='r6:मदरसों' posn='10' vpos='vib_2' name='पाकिस्तान' chunkId='NP' chunkType='head:NP' cref='i1%1:t1' crefHead='पाकिस्तान:i1' crefType='part-of:i1'>
2	के	PSP	<fs af='का,psp,m,pl,,o,,' posn='20' drel='lwg__psp:पाकिस्तान' chunkType='child:NP' name='के'>
3	मदरसों	NN	<fs af='मदरसा,n,m,pl,3,o,0_में,0' drel='k7p:दी' posn='30' vpos='vib_2_RP' name='मदरसों' chunkId='NP2' chunkType='head:NP2'>
4	में	PSP	<fs af='में,psp,,,,,,' posn='40' drel='lwg__psp:मदरसों' chunkType='child:NP2' name='में'>
5	ही	RP	<fs af='ही,avy,,,,,,' posn='50' drel='lwg__rp:मदरसों' chunkType='child:NP2' name='ही'>
6	बच्चों	NN	<fs af='बच्चा,n,m,pl,3,o,0_को,0' drel='k4:दी' posn='60' vpos='vib_2' name='बच्चों' chunkId='NP3' chunkType='head:NP3'>
7	को	PSP	<fs af='को,psp,,,,,,' posn='70' drel='lwg__psp:बच्चों' chunkType='child:NP3' name='को'>
8	'	SYM	<fs af='SINGLE_QUOTE,punc,,,,,,' ' posn='80' drel='rsym:जिहाद' chunkType='child:NP4' name=''>
9	जिहाद	NN	<fs af='जिहाद,n,f,sg,3,o,0,0' drel='ccof:और' posn='90' name='जिहाद' chunkId='NP4' chunkType='head:NP4' cref='i3%1:t2' crefHead='जिहाद:i3' crefType='part-of:i3'>
10	'	SYM	<fs af='SINGLE_QUOTE,punc,,,,,,' 2' posn='100' drel='rsym:जिहाद' chunkType='child:NP4' name=''>
11	और	CC	<fs af='और,avy,,,,,,' drel='k2u:दी' posn='110' name='और' chunkId='CCP' chunkType='head:CCP'>
12	'	SYM	<fs af='SINGLE_QUOTE,punc,,,,,,' 3' posn='120' drel='rsym:शहादत' chunkType='child:NP5' name=''>
13	शहादत	NN	<fs af='शहादत,n,f,sg,3,o,0_जैसा,0' drel='ccof:और' posn='130' vpos='vib_4' name='शहादत' chunkId='NP5' chunkType='head:NP5' cref='i10%1:t3' crefHead='शहादत:i10' crefType='part-of:i10'>
14	'	SYM	<fs af='SINGLE_QUOTE,punc,,,,,,' 4' posn='140' drel='rsym:शहादत' chunkType='child:NP5' name=''>
15	जैसे	PSP	<fs af='जैसा,psp,m,pl,,o,,' posn='150' drel='lwg__psp:शहादत' chunkType='child:NP5' name='जैसे'>
16	शब्दों	NN	<fs af='शब्द,n,m,pl,3,o,0_का,0' drel='r6:घुट्टी' posn='160' vpos='vib_2' name='शब्दों' chunkId='NP6' chunkType='head:NP6'>
17	की	PSP	<fs af='का,psp,f,sg,,d,,' posn='170' drel='lwg__psp:शब्दों' chunkType='child:NP6' name='की'>
18	घुट्टी	NN	<fs af='घुट्टी,n,f,sg,3,d,0,0' drel='k2:दी' posn='180' name='घुट्टी' chunkId='NP7' chunkType='head:NP7'>
19	नहीं	NEG	<fs af='नहीं,avy,,,,,,' posn='190' drel='lwg__neg:दी' chunkType='child:VGF' name='नहीं'>
20	दी	VM	<fs af='दे,v,f,sg,3,,या_जा+ता,yA' drel='ccof:बल्कि' stype='declarative' posn='200' voicetype='passive' vpos='tam_3' name='दी' chunkId='VGF' chunkType='head:VGF'>
21	जाती	VAUX	<fs af='जा,v,f,sg,3,,ता,wA' posn='210' drel='lwg__vaux:दी' chunkType='child:VGF' name='जाती'>
22	,	SYM	<fs af='COMMA,punc,,,,,,' posn='220' drel='rsym:दी' chunkType='child:VGF' name=','>
23	बल्कि	CC	<fs af='बल्कि,avy,,,,,,' posn='230' name='बल्कि' chunkId='CCP2' chunkType='head:CCP2'>
24	उसके	PRP	<fs af='वह,pn,m,sg,3,o,का,kA' drel='r6:स्कूलों' posn='240' name='उसके' chunkId='NP8' chunkType='head:NP8' cref='i24%1:t1' crefHead='उसके:i24'>
25	प्राइमरी	NNC	<fs af='प्राइमरी,adj,any,any,,o,,' posn='250' drel='pof__cn:स्कूलों' chunkType='child:NP9' name='प्राइमरी'>
26	स्कूलों	NN	<fs af='स्कूल,n,m,pl,3,o,0_का,0' drel='r6:पाठ्यक्रम' posn='260' vpos='vib_3' name='स्कूलों' chunkId='NP9' chunkType='head:NP9'>
27	के	PSP	<fs af='का,psp,m,sg,,o,,' posn='270' drel='lwg__psp:स्कूलों' chunkType='child:NP9' name='के2'>
28	पाठ्यक्रम	NN	<fs af='पाठ्यक्रम,n,m,sg,3,o,0_में,0' drel='k7:दी2' posn='280' vpos='vib_2' name='पाठ्यक्रम' chunkId='NP10' chunkType='head:NP10'>
29	में	PSP	<fs af='में,psp,,,,,,' posn='290' drel='lwg__psp:पाठ्यक्रम' chunkType='child:NP10' name='में2'>
30	इन्हें	PRP	<fs af='यह,pn,any,pl,3,o,को,ko' drel='k4:दी2' posn='300' name='इन्हें' chunkId='NP11' chunkType='head:NP11'>
31	पूरी	JJ	<fs af='पूरा,adj,f,sg,,d,,' posn='310' drel='nmod__adj:अहमियत' chunkType='child:NP12' name='पूरी'>
32	अहमियत	NN	<fs af='अहमियत,n,f,sg,3,d,0,0' drel='pof:दी2' posn='320' name='अहमियत' chunkId='NP12' chunkType='head:NP12'>
33	दी	VM	<fs af='दे,v,f,sg,3,,या_जा+या१_है,yA' drel='ccof:बल्कि' stype='declarative' posn='330' voicetype='passive' vpos='tam_2_3' name='दी2' chunkId='VGF2' chunkType='head:VGF2'>
